wf,agent,dur_s,turns,tools,out_tok,cache_read,cache_create,start
"7680df41-fa8","spec-fixer-r2",61,25,14,333,638961,37620,"2026-08-31T09:12:46Z"
"7680df41-fa8","spec-reviewer-coherence-r2",47,5,3,43,85678,27113,"2026-08-31T09:11:44Z"
"7680df41-fa8","spec-reviewer-coherence-r1",42,5,3,39,62036,49903,"2026-08-31T09:10:33Z"
"7680df41-fa8","spec-reviewer-testability-r2",59,9,5,130,176831,29853,"2026-08-31T09:11:44Z"
"7680df41-fa8","spec-writer",47,6,3,31,81870,44257,"2026-08-31T09:09:41Z"
"7680df41-fa8","spec-reviewer-faithfulness-r1",30,5,3,39,85446,25743,"2026-08-31T09:10:34Z"
"7680df41-fa8","spec-reviewer-coherence-r3",47,5,3,39,86051,28331,"2026-08-31T09:13:50Z"
"7680df41-fa8","spec-reviewer-testability-r1",33,5,3,46,85464,25430,"2026-08-31T09:10:34Z"
"7680df41-fa8","spec-reviewer-faithfulness-r3",27,6,4,48,98266,35304,"2026-08-31T09:13:50Z"
"7680df41-fa8","spec-reviewer-faithfulness-r2",50,7,5,88,152187,23877,"2026-08-31T09:11:44Z"
"7680df41-fa8","spec-fixer-r1",22,8,5,37,151400,38336,"2026-08-31T09:11:18Z"
"7680df41-fa8","spec-reviewer-testability-r3",39,6,4,59,108477,27109,"2026-08-31T09:13:50Z"
"bd8bf4c9-2c6","plan-reviewer-conflicts-r3",143,7,4,39,146653,48279,"2026-08-31T09:21:47Z"
"bd8bf4c9-2c6","plan-reviewer-conflicts-r2",78,11,7,91,275051,56896,"2026-08-31T09:19:10Z"
"bd8bf4c9-2c6","plan-fixer-r2",48,9,6,76,201719,21076,"2026-08-31T09:20:56Z"
"bd8bf4c9-2c6","plan-fixer-r1",57,16,10,97,409379,51213,"2026-08-31T09:18:10Z"
"bd8bf4c9-2c6","planner",126,7,5,335,96718,82606,"2026-08-31T09:14:59Z"
"bd8bf4c9-2c6","plan-reviewer-coverage-r1",58,9,5,136,181022,63478,"2026-08-31T09:17:09Z"
"bd8bf4c9-2c6","plan-reviewer-coverage-r2",102,7,5,906,162986,38396,"2026-08-31T09:19:11Z"
"bd8bf4c9-2c6","plan-reviewer-conflicts-r1",54,7,4,239,143910,38524,"2026-08-31T09:17:10Z"
"bd8bf4c9-2c6","plan-reviewer-coverage-r3",53,7,4,43,146621,39091,"2026-08-31T09:21:47Z"
"9f6bff7e-7ba","test-reviewer-T14",34,11,6,63,273863,50511,"2026-08-31T09:28:27Z"
"9f6bff7e-7ba","test-writer-T7",68,19,11,1659,453177,39574,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-reviewer-T4",140,26,15,125,656488,58360,"2026-08-31T09:28:04Z"
"9f6bff7e-7ba","test-fixer-T8",22,8,5,53,151500,23699,"2026-08-31T09:29:28Z"
"9f6bff7e-7ba","test-writer-T14",105,22,14,228,561426,72434,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-writer-T5",50,14,9,82,328094,55842,"2026-08-31T09:26:38Z"
"9f6bff7e-7ba","test-writer-T16",204,26,15,3962,966050,96849,"2026-08-31T09:27:31Z"
"9f6bff7e-7ba","test-writer-T2",54,17,10,95,412778,36282,"2026-08-31T09:26:38Z"
"9f6bff7e-7ba","test-writer-T15",84,18,11,92,476890,62399,"2026-08-31T09:27:26Z"
"9f6bff7e-7ba","test-reviewer-T16",41,14,8,88,363093,43489,"2026-08-31T09:30:58Z"
"9f6bff7e-7ba","test-writer-T3",105,13,8,78,336552,57401,"2026-08-31T09:26:38Z"
"9f6bff7e-7ba","test-writer-T8",49,16,10,71,362613,48590,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-writer-T12",82,18,11,94,420500,53165,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-fixer-T9",30,8,5,55,169091,32376,"2026-08-31T09:32:20Z"
"9f6bff7e-7ba","test-reviewer-T7",38,12,7,68,241732,26693,"2026-08-31T09:28:07Z"
"9f6bff7e-7ba","test-reviewer-T12",44,14,8,198,334160,44778,"2026-08-31T09:28:17Z"
"9f6bff7e-7ba","test-writer-T6",118,19,12,95,475088,64935,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-reviewer-T10",32,16,10,406,335883,44322,"2026-08-31T09:28:19Z"
"9f6bff7e-7ba","test-writer-T11",96,16,10,82,382340,55224,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-reviewer-T9",93,14,8,295,378157,53055,"2026-08-31T09:30:44Z"
"9f6bff7e-7ba","test-writer-T9",241,20,13,109,613847,99623,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-reviewer-T3",56,13,8,56,338251,70997,"2026-08-31T09:28:26Z"
"9f6bff7e-7ba","test-fixer-T4",31,11,7,279,216503,34942,"2026-08-31T09:30:27Z"
"9f6bff7e-7ba","test-reviewer-T6",70,20,11,817,472209,43471,"2026-08-31T09:28:40Z"
"9f6bff7e-7ba","test-fixer-T3",38,16,9,361,408048,41526,"2026-08-31T09:29:25Z"
"9f6bff7e-7ba","test-reviewer-T8",109,24,15,843,619613,40538,"2026-08-31T09:27:35Z"
"9f6bff7e-7ba","test-fixer-T6",88,29,17,740,819805,53090,"2026-08-31T09:29:54Z"
"9f6bff7e-7ba","test-reviewer-T13",46,18,10,87,466908,30390,"2026-08-31T09:28:36Z"
"9f6bff7e-7ba","test-reviewer-T1",44,9,5,43,182936,63843,"2026-08-31T09:27:32Z"
"9f6bff7e-7ba","test-writer-T10",85,19,11,1742,466427,52336,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-reviewer-T11",85,23,13,147,600909,40911,"2026-08-31T09:28:20Z"
"9f6bff7e-7ba","test-reviewer-T5",30,11,6,263,266380,38344,"2026-08-31T09:27:43Z"
"9f6bff7e-7ba","test-writer-T13",113,21,13,11704,546300,69212,"2026-08-31T09:26:39Z"
"9f6bff7e-7ba","test-writer-T4",62,13,8,67,308857,48910,"2026-08-31T09:26:38Z"
"9f6bff7e-7ba","scaffolder-T0",83,28,18,1734,759661,65593,"2026-08-31T09:25:12Z"
"9f6bff7e-7ba","test-writer-T1",45,11,7,940,246786,45211,"2026-08-31T09:26:38Z"
"9f6bff7e-7ba","test-reviewer-T15",59,13,8,77,325531,43772,"2026-08-31T09:28:54Z"
"9f6bff7e-7ba","test-reviewer-T2",54,17,9,464,379360,33053,"2026-08-31T09:27:50Z"
"130028c4-9c4","impl-reviewer-T9",146,24,15,142,750015,130942,"2026-08-31T10:03:58Z"
"130028c4-9c4","impl-fixer-T10",86,27,16,296,680531,40320,"2026-08-31T10:12:48Z"
"130028c4-9c4","impl-reviewer-T11",38,15,10,464,337749,47390,"2026-08-31T10:09:08Z"
"130028c4-9c4","implementer-T14",86,14,9,89,362842,50934,"2026-08-31T10:06:28Z"
"130028c4-9c4","implementer-T10",253,44,24,532,1632956,80117,"2026-08-31T10:06:28Z"
"130028c4-9c4","implementer-T16",562,97,57,673,5995884,198533,"2026-08-31T10:23:35Z"
"130028c4-9c4","impl-fixer-T15",100,23,15,529,550235,32457,"2026-08-31T10:21:52Z"
"130028c4-9c4","implementer-T1",44,14,9,409,347478,43471,"2026-08-31T09:33:22Z"
"130028c4-9c4","implementer-T13",122,27,15,759,781743,52514,"2026-08-31T10:06:28Z"
"130028c4-9c4","implementer-T11",157,32,18,165,935876,49921,"2026-08-31T10:06:28Z"
